CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE
1455,FC CHUNNAKAM,"No. 91, K. K. S. Road, Chunnakam.",9.7456,80.0271
1330,EX MORATUMULLA,"No. 46, Main Street,Moratumulla.",6.291523,80.163099
1344,EX DEPANAMA,"No. 205, Borella Road,Depanama,",6.856603,79.945244
1350,EX MATALE ROSE ST,"No. 1/15, Rose Street,Matale.",7.4708262,80.6242126
1456,FC RATMALANA 02,"No. 417, Galle Road, Rathmalana",6.837607,79.867514
1348,EX PUGODA,"Cargills Food City, Hanwella Road,Kospitiyana,Pugoda.",6.926942,80.069513
1324,EX ALAWWA,"No. 151, Giriulla Road,Alawwa.",7.2938087,80.2393427
1345,EX BALAPITIYA,"No 79, Galle Road,Balapitiya",6.2639008,80.0366744
1351,EX SEEDUWA PALLIYAWATTA,"No. 344, Kotugoda Road,Palliya Junction,Raddolugama",7.130979,79.886749
1352,EX SOUTHERN HIGHWAY A,"Cargills Food City Express A ,Canowin Arcade ,Welipenna Rest area.",6.469516,80.077822
1353,EX SOUTHERN HIGHWAY B,"Cargills Food City Express B,Canowin Arcade,Welipenna Rest area.",6.995219,80.406192
1463,FC HANWELLA,"No. 138/2B, Main Street, Hanwella",6.9086,80.0796
1464,FC PALLEKELE,"No. 396, Digana Road, Pallekele",7.2945,80.7225
1354,EX CTG PILIYANDALA,"No. 120, CT Gardens,Gangarama Road,Thumbowila,Piliyandala.",6.8117272,79.9124112
1155,FC AMBALANTHOTA,"No 129, Jayantha Building, Tangalle Road, Ambalantota.",6.119513,81.016088
1444,FC GALLE 02,"No. 10/8, Wakwella Road, Galle",6.0656332,80.1985511
1346,EX MAWARAMANDIYA,"No. 470,Delgoda Road,Mawaramandiya.",6.9856,79.9745
1465,FC DALUGAMA,"No.334/ Dalugama, Kelaniya",6.9745876,79.918335
1349,EX KARANDENIYA,"No.343, MAHAHENDHANDA, KARANDENIYA",6.2708131,80.0793223
1460,FC KATUGASTOTA2,"No. 452, Katugastota road, kandy",7.2728825,80.6040777
1355,EX ERIYAGAMA,"No.180, Colombo road, Eiryagama.",7.091106,79.99707
1466,FC AMBALANGODA2,"No. 37, New Road, Ambalangoda.",6.2328919,80.0544604
1362,EX PITIPANA,No. 254/ F - Avissavella rd. Homagama.,6.8412384,80.0034457
1347,EX MULLERIYAWA,"No. 378 / Avissawella Rd, mulleriyawa, angoda.",6.9386407,79.9585745
1363,EX SIDDAMULLA,"No: 77, Sangarama Road,Siddamulla,Piliyandala.",6.8232,79.9586
1356,EX DIVULAPITIYA,"No.37, Bomugammana,Divulapitiya",7.256563,80.00489
1364,EX DEANS ROAD,"No. 153, Deans Road,Colombo 10",6.921109,79.864399
1375,EX BUTTALA,"No. 36, Monaragala Road,Buttala.",6.7570967,81.2402218
1361,EX MANIKHINNA,"No. 31, Kandy Road,Manikhinna.",7.8558721,80.6529939
1365,EX KATUNERIYA,"St. Anthonies Building, Chilaw Road, Katuneriya",7.3893081,79.8319885
1459,FC AKURESSA,"No.83 Matara Road,Akuressa",6.057924,80.4902331
1467,FC GATAMBE,"No.496, Gatambe, Peradeniya.",7.26291,80.5908561
1473,FC STANLY TMW,"No. 143/5A, Stanly Thilakarathna Mawatha, Nugegoda.",6.8699688,79.8882835
1367,EX NALLURUWA,"No.830 Galle Road,Nalluruwa",6.837607,79.867514
1379,EX GINIGATHHENA,"No.120/1 ,Nawalapitiya Road,Ginigathhena",7.0024045,80.4903814
1472,FC PETHIYAGODA,"No. 16  Biyagama Road,Pethiyagoda,Kelaniya",6.9553,79.922
1373,EX ALUBOMULLA,"No. 256, Kurusa Handiya,Alubomulla,Panadura.",6.739325,79.907792
1358,EX BOPITIYA,"No. 1, Pamunugama Road,Bopitiya",7.07,79.855
1357,EX AMPITIYA,"No. 63 Kandy Road,Ampitiya.",7.2763351,80.6559644
